# sc	tc	usage_score	pinyin(optional)
# Project-maintained countries, territories, and broad regions. Keep common
# geopolitical names visible, but below daily/chat phrases and learned words.
中国	中國	0.92	zhongguo
中华人民共和国	中華人民共和國	0.82	zhonghuarenmingongheguo
美国	美國	0.90	meiguo
日本	日本	0.88	riben
韩国	韓國	0.86	hanguo
朝鲜	朝鮮	0.74	chaoxian
越南	越南	0.78	yuenan
泰国	泰國	0.78	taiguo
新加坡	新加坡	0.84	xinjiapo
马来西亚	馬來西亞	0.76	malaixiya
印度尼西亚	印度尼西亞	0.74	yindunixiya
菲律宾	菲律賓	0.74	feilvbin
缅甸	緬甸	0.70	miandian
柬埔寨	柬埔寨	0.70	jianpuzhai
老挝	老撾	0.68	laowo
文莱	汶萊	0.66	wenlai
东帝汶	東帝汶	0.62	dongdiwen
印度	印度	0.78	yindu
巴基斯坦	巴基斯坦	0.70	bajisitan
孟加拉国	孟加拉國	0.68	mengjialaguo
斯里兰卡	斯里蘭卡	0.66	sililanka
尼泊尔	尼泊爾	0.66	niboer
不丹	不丹	0.62	budan
阿富汗	阿富汗	0.66	afuhan
伊朗	伊朗	0.72	yilang
伊拉克	伊拉克	0.66	yilake
沙特	沙特	0.68	shate
阿联酋	阿聯酋	0.70	alianqiu
卡塔尔	卡塔爾	0.66	kataer
以色列	以色列	0.72	yiselie
土耳其	土耳其	0.72	tuerqi
俄罗斯	俄羅斯	0.82	eluosi
乌克兰	烏克蘭	0.76	wukelan
白俄罗斯	白俄羅斯	0.68	baieluosi
英国	英國	0.84	yingguo
法国	法國	0.82	faguo
德国	德國	0.82	deguo
意大利	意大利	0.78	yidali
西班牙	西班牙	0.76	xibanya
葡萄牙	葡萄牙	0.70	putaoya
荷兰	荷蘭	0.74	helan
比利时	比利時	0.70	bilishi
瑞士	瑞士	0.74	ruishi
奥地利	奧地利	0.70	aodili
瑞典	瑞典	0.72	ruidian
挪威	挪威	0.70	nuowei
丹麦	丹麥	0.70	danmai
芬兰	芬蘭	0.70	fenlan
波兰	波蘭	0.72	bolan
捷克	捷克	0.68	jieke
匈牙利	匈牙利	0.66	xiongyali
希腊	希臘	0.68	xila
爱尔兰	愛爾蘭	0.68	aierlan
加拿大	加拿大	0.78	jianada
墨西哥	墨西哥	0.74	moxige
巴西	巴西	0.76	baxi
阿根廷	阿根廷	0.72	agenting
智利	智利	0.68	zhili
秘鲁	秘魯	0.66	bilu
澳大利亚	澳大利亞	0.78	aodaliya
新西兰	紐西蘭	0.72	xinxilan
埃及	埃及	0.72	aiji
南非	南非	0.72	nanfei
尼日利亚	尼日利亞	0.66	niriliya
肯尼亚	肯尼亞	0.66	kenniya
摩洛哥	摩洛哥	0.66	moluoge
埃塞俄比亚	衣索比亞	0.62	aisaiebiya
亚洲	亞洲	0.76	yazhou
欧洲	歐洲	0.76	ouzhou
非洲	非洲	0.74	feizhou
北美	北美	0.72	beimei
南美	南美	0.70	nanmei
拉美	拉美	0.68	lamei
中东	中東	0.72	zhongdong
东南亚	東南亞	0.72	dongnanya
南亚	南亞	0.68	nanya
中亚	中亞	0.66	zhongya
西亚	西亞	0.66	xiya
东亚	東亞	0.70	dongya
西欧	西歐	0.66	xiou
东欧	東歐	0.66	dongou
北欧	北歐	0.66	beiou
