# sc	tc	usage_score	pinyin(optional)
# Project-maintained medical terminology supplement.
# Use this layer for high-value medical terms that need explicit pinyin
# or stable project-authored reinforcement without going through the
# daily/chat preferred-term path.
都保	都保	0.84	dubao
普米克都保	普米剋都保	0.86	pumikedubao
藏医	藏醫	0.80	zangyi
藏药	藏藥	0.80	zangyao
藏医学	藏醫學	0.82	zangyixue
藏医药	藏醫藥	0.82	zangyiyao
西藏医学	西藏醫學	0.78	xizangyixue
藏毛窦	藏毛竇	0.80	zangmaodou
藏毛囊肿	藏毛囊腫	0.82	zangmaonangzhong
藏毛性疾病	藏毛性疾病	0.76	zangmaoxingjibing
藏青果喉片	藏青果喉片	0.78	zangqingguohoupian
藏菖蒲	藏菖蒲	0.74	zangchangpu
长牙	長牙	0.72	zhangya
失调	失調	0.80	shitiao
调节剂	調節劑	0.82	tiaojieji
调节性内斜视	調節性內斜視	0.82	tiaojiexingneixieshi
免疫调节	免疫調節	0.80	mianyitiaojie
神经调节	神經調節	0.80	shenjingtiaojie
体液调节	體液調節	0.80	tiyetiaojie
自身调节	自身調節	0.80	zishentiaojie
调经补血丸	調經補血丸	0.82	tiaojingbuxuewan
调经促孕丸	調經促孕丸	0.82	tiaojingcuyunwan
调经活血片	調經活血片	0.82	tiaojinghuoxuepian
调经祛斑胶囊	調經祛斑膠囊	0.82	tiaojingqubanjiaonang
调经益灵片	調經益靈片	0.82	tiaojingyilingpian
调经益母片	調經益母片	0.82	tiaojingyimupian
调经至宝丸	調經至寶丸	0.82	tiaojingzhibaowan
调经止痛胶囊	調經止痛膠囊	0.82	tiaojingzhitongjiaonang
肝郁调经膏	肝鬱調經膏	0.80	ganyutiaojinggao
养血调经	養血調經	0.78	yangxuetiaojing
活血调经	活血調經	0.78	huoxuetiaojing
调肝汤	調肝湯	0.78	tiaogantang
调和肝脾	調和肝脾	0.78	tiaoheganpi
调和脾胃	調和脾胃	0.78	tiaohepiwei
调胃承气汤	調胃承氣湯	0.78	tiaoweichengqitang
调胃舒肝丸	調胃舒肝丸	0.78	tiaoweishuganwan
调中益气汤	調中益氣湯	0.78	tiaozhongyiqitang
山楂调中丸	山楂調中丸	0.76	shanzhatiaozhongwan
荷叶调脂茶	荷葉調脂茶	0.76	heyetiaozhicha
川芎茶调散	川芎茶調散	0.80	chuanxiongchatiaosan
川芎茶调颗粒	川芎茶調顆粒	0.80	chuanxiongchatiaokeli
肠镜	腸鏡	0.84	changjing
指征	指徵	0.84	zhizheng

# word1 curated import 2026-06-03 (medicine); reviewed from D:/word1.txt
过敏源	過敏源	0.42	guominyuan
红斑疹	紅斑疹	0.42	hongbanzhen
小毛病	小毛病	0.42	xiaomaobing
致敏源	致敏源	0.42	zhiminyuan
身体虚弱	身體虛弱	0.42	shentixuruo

# BEGIN words_new_import_2026_07_09
# Imported from D:/_/words_new.txt on 2026-07-09; reviewed by rule-based classifier.
药厂	藥廠	0.12
药费	藥費	0.12
生长痛	生長痛	0.12
上药	上藥	0.12
止咳药	止咳藥	0.12
止疼药	止疼藥	0.12
# END words_new_import_2026_07_09

# BEGIN words_source_import_2026_07_10 (reviewed medical)
异物感	異物感	0.38	yiwugan
便意	便意	0.38	bianyi
硬结	硬結	0.38	yingjie
棉条	棉條	0.38	miantiao
心理障碍	心理障礙	0.34	xinlizhangai
肛检	肛檢	0.38	gangjian
术中	術中	0.38	shuzhong
扩肛	擴肛	0.38	kuogang
排卵期	排卵期	0.38	pailuanqi
护理液	護理液	0.38	huliye
推药	推藥	0.38	tuiyao
观察室	觀察室	0.38	guanchashi
大阴唇	大陰唇	0.38	dayinchun
趴卧	趴臥	0.38	pawo
用药	用藥	0.38	yongyao
灌肠液	灌腸液	0.38	guanchangye
性唤起	性喚起	0.38	xinghuanqi
润湿	潤濕	0.38	runshi
凯格尔	凱格爾	0.38	kaigeer
屈伸	屈伸	0.38	qushen
奇痒	奇癢	0.38	qiyang
口唇	口脣	0.38	kouchun
上颚	上顎	0.38	shange
体脂率	體脂率	0.38	tizhilv
体脂	體脂	0.38	tizhi
碘伏	碘伏	0.38	dianfu
体前屈	體前屈	0.38	tiqianqu
对侧	對側	0.38	duice
阴道哑铃	陰道啞鈴	0.34	yindaoyaling
缩阴球	縮陰球	0.38	suoyinqiu
# END words_source_import_2026_07_10

# Common medical supplies and supplement terminology.
碘酒	碘酒	0.66	dianjiu
补剂	補劑	0.52	buji

# Common respiratory terminology and breathing fragments 2026-08-07.
下呼吸	下呼吸	0.38	xiahuxi
下呼吸道	下呼吸道	0.80	xiahuxidao
上呼吸	上呼吸	0.38	shanghuxi
双吸气	雙吸氣	0.38	shuangxiqi

# Common colorectal clinic terminology 2026-08-17.
肛肠	肛腸	0.52	gangchang
肛肠外科	肛腸外科	0.60	gangchangwaike
肛肠门诊	肛腸門診	0.52	gangchangmenzhen
结直肠外科	結直腸外科	0.58	jiezhichangwaike
